Candidate.id,Candidate_Entity:id,General_Party.id,Election_Type.id,Office_Sought.id,Broad_Sector.id,Incumbency_Status,Status_of_Candidate.id,Industry_Spending_Totals,Candidate,Election_Status,Status_of_Candidate,General_Party,Election_Year,Election_Type,Office_Sought,Incumbency_Status,Broad_Sector
82901,6398792,1,1,9169,6,2,1,10845112,"DAVIS, GRAY",Won-General,Won,Democratic,2002,Standard,GOVERNOR,Incumbent,"Finance, Insurance & Real Estate"
115393,2138468,2,1,9169,6,2,1,10721098,"SCHWARZENEGGER, ARNOLD",Won-General,Won,Republican,2006,Standard,GOVERNOR,Incumbent,"Finance, Insurance & Real Estate"
33014,48993,2,1,9169,6,3,2,8724544,"SIMON JR, WILLIAM E (BILL)",Lost-General,Lost,Republican,2002,Standard,GOVERNOR,Challenger,"Finance, Insurance & Real Estate"
65375,29169,2,1,9169,6,1,2,8542810,"WHITMAN, MARGARET C (MEG)",Lost-General,Lost,Republican,2010,Standard,GOVERNOR,Open,"Finance, Insurance & Real Estate"
49589,6654531,2,1,9169,6,1,2,5740965,"LUNGREN, DANIEL E",Lost-General,Lost,Republican,1998,Standard,GOVERNOR,Open,"Finance, Insurance & Real Estate"
223744,312332,1,1,9169,6,1,1,5263837,"NEWSOM, GAVIN",Won-General,Won,Democratic,2018,Standard,GOVERNOR,Open,"Finance, Insurance & Real Estate"
82904,728939,1,1,9174,6,2,1,4817626,"ANGELIDES, PHIL",Won-General,Won,Democratic,2002,Standard,TREASURER,Incumbent,"Finance, Insurance & Real Estate"
58340,728939,1,1,9169,6,3,2,4765693,"ANGELIDES, PHIL",Lost-General,Lost,Democratic,2006,Standard,GOVERNOR,Challenger,"Finance, Insurance & Real Estate"
103467,6398792,1,1,9169,6,1,1,4698406,"DAVIS, GRAY",Won-General,Won,Democratic,1998,Standard,GOVERNOR,Open,"Finance, Insurance & Real Estate"
2589,12996620,2,1,9169,6,1,2,4186755,"RIORDAN, RICHARD J",Lost-Primary,Lost,Republican,2002,Standard,GOVERNOR,Open,"Finance, Insurance & Real Estate"
82901,6398792,1,1,9169,8,2,1,3793114,"DAVIS, GRAY",Won-General,Won,Democratic,2002,Standard,GOVERNOR,Incumbent,Health
123398,70023,1,1,9169,6,1,1,3605420,"BROWN JR, EDMUND G (JERRY)",Won-General,Won,Democratic,2010,Standard,GOVERNOR,Open,"Finance, Insurance & Real Estate"
84766,2138468,2,1,9169,6,1,1,2799581,"SCHWARZENEGGER, ARNOLD",Won-General,Won,Republican,2003,Standard,GOVERNOR,Open,"Finance, Insurance & Real Estate"
15265,27541,1,1,9169,6,1,2,2726720,"WESTLY, STEVEN P",Lost-Primary,Lost,Democratic,2006,Standard,GOVERNOR,Open,"Finance, Insurance & Real Estate"
115393,2138468,2,1,9169,2,2,1,2420916,"SCHWARZENEGGER, ARNOLD",Won-General,Won,Republican,2006,Standard,GOVERNOR,Incumbent,Construction
167906,70023,1,1,9169,6,2,1,2261308,"BROWN JR, EDMUND G (JERRY)",Won-General,Won,Democratic,2014,Standard,GOVERNOR,Incumbent,"Finance, Insurance & Real Estate"
82897,1264215,1,1,9175,6,2,1,1891437,"LOCKYER, BILL",Won-General,Won,Democratic,2002,Standard,ATTORNEY GENERAL,Incumbent,"Finance, Insurance & Real Estate"
223744,312332,1,1,9169,8,1,1,1799158,"NEWSOM, GAVIN",Won-General,Won,Democratic,2018,Standard,GOVERNOR,Open,Health
103440,6617390,2,1,9172,6,2,1,1663061,"QUACKENBUSH, CHUCK",Won-General,Won,Republican,1998,Standard,INSURANCE COMMISSIONER,Incumbent,"Finance, Insurance & Real Estate"
12373,792818,1,1,9172,6,1,2,1660238,"CALDERON, THOMAS M (TOM)",Lost-Primary,Lost,Democratic,2002,Standard,INSURANCE COMMISSIONER,Open,"Finance, Insurance & Real Estate"
82901,6398792,1,1,9169,5,2,1,1651024,"DAVIS, GRAY",Won-General,Won,Democratic,2002,Standard,GOVERNOR,Incumbent,Energy & Natural Resources
82901,6398792,1,1,9169,2,2,1,1622406,"DAVIS, GRAY",Won-General,Won,Democratic,2002,Standard,GOVERNOR,Incumbent,Construction
86134,1288156,1,1,672,6,2,1,1563828,"BURTON, JOHN L",Won-General,Won,Democratic,2000,Standard,SENATE DISTRICT 003,Incumbent,"Finance, Insurance & Real Estate"
115393,2138468,2,1,9169,8,2,1,1557205,"SCHWARZENEGGER, ARNOLD",Won-General,Won,Republican,2006,Standard,GOVERNOR,Incumbent,Health
82841,27541,1,1,9170,6,1,1,1467407,"WESTLY, STEVEN P",Won-General,Won,Democratic,2002,Standard,CONTROLLER,Open,"Finance, Insurance & Real Estate"
223742,6451725,1,1,9169,6,1,2,1376734,"VILLARAIGOSA, ANTONIO",Lost-Top Two Primary,Lost,Democratic,2018,Standard,GOVERNOR,Open,"Finance, Insurance & Real Estate"
167906,70023,1,1,9169,8,2,1,1372017,"BROWN JR, EDMUND G (JERRY)",Won-General,Won,Democratic,2014,Standard,GOVERNOR,Incumbent,Health
